AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,PersonKey
ACC00001,CASE00001,Hemang Sur,29,M,A1,PER00001
ACC00002,CASE00002,Hemang Sur,30,M,A1,PER00001
ACC00003,CASE00003,Vihaan Samra,59,M,A1,PER00002
ACC00004,CASE00003,Luke Edwin,50,M,A2,PER00003
ACC00005,CASE00003,Onkar Kalita,57,M,A3,PER00004
ACC00006,CASE00004,Ati Char,52,F,A1,PER00005
ACC00007,CASE00004,Aayush Nair,53,M,A2,PER00006
ACC00008,CASE00005,Aayush Nair,53,M,A1,PER00006
ACC00009,CASE00006,Qasim Parmer,45,M,A1,PER00007
ACC00010,CASE00006,Nisha Kuruvilla,35,T,A2,PER00008
ACC00011,CASE00007,Qasim Setty,30,M,A1,PER00009
ACC00012,CASE00008,Amruta Kara,19,F,A1,PER00010
ACC00013,CASE00008,Yashica Yogi,55,F,A2,PER00011
ACC00014,CASE00008,Mason Tailor,37,M,A3,PER00012
ACC00015,CASE00009,Darsh Hayer,64,M,A1,PER00013
ACC00016,CASE00010,Samaksh Trivedi,25,M,A1,PER00014
ACC00017,CASE00011,Anmol Mani,17,M,A1,PER00015
ACC00018,CASE00011,Qasim Parmer,45,M,A2,PER00007
ACC00019,CASE00011,Diya Edwin,30,F,A3,PER00016
ACC00020,CASE00012,Gopal Dutt,45,M,A1,PER00017
ACC00021,CASE00013,Onkar Kalita,58,M,A1,PER00004
ACC00022,CASE00013,Karan Gola,16,M,A2,PER00018
ACC00023,CASE00014,Ekaraj Tella,46,M,A1,PER00019
ACC00024,CASE00014,Lakshit Minhas,36,M,A2,PER00020
ACC00025,CASE00015,Jagdish Patla,33,M,A1,PER00021
ACC00026,CASE00016,Sai Buch,27,M,A1,PER00022
ACC00027,CASE00016,Samarth Sathe,51,M,A2,PER00023
ACC00028,CASE00017,Patrick Peri,17,M,A1,PER00024
ACC00029,CASE00017,Fariq Agarwal,24,M,A2,PER00025
ACC00030,CASE00018,Amruta Kara,20,F,A1,PER00010
ACC00031,CASE00019,Bina Rao,63,F,A1,PER00026
ACC00032,CASE00020,Samarth Sathe,51,M,A1,PER00023
ACC00033,CASE00021,Isaiah Sodhi,19,M,A1,PER00027
ACC00034,CASE00022,Isaiah Sodhi,20,M,A1,PER00027
ACC00035,CASE00022,Advay Sangha,50,M,A2,PER00028
ACC00036,CASE00023,Riya Mutti,46,F,A1,PER00029
ACC00037,CASE00023,Yagnesh Batra,36,M,A2,PER00030
ACC00038,CASE00024,Bahadurjit Pradhan,54,M,A1,PER00031
ACC00039,CASE00024,Isaac Chada,32,M,A2,PER00032
ACC00040,CASE00025,Abhiram Shan,30,M,A1,PER00033
ACC00041,CASE00026,Maanas Chad,59,M,A1,PER00034
ACC00042,CASE00026,Zayyan Narain,48,M,A2,PER00035
ACC00043,CASE00026,Jagdish Patla,25,M,A3,PER00036
ACC00044,CASE00027,Adya Kapoor,53,F,A1,PER00037
ACC00045,CASE00027,Frederick Halder,41,M,A2,PER00038
ACC00046,CASE00028,Upkaar Dhawan,48,M,A1,PER00039
ACC00047,CASE00028,Onveer Thaker,31,M,A2,PER00040
ACC00048,CASE00028,Michael Bhatnagar,44,M,A3,PER00041
ACC00049,CASE00029,Agastya Shetty,27,M,A1,PER00042
ACC00050,CASE00029,Aayush Nair,53,M,A2,PER00006
ACC00051,CASE00029,Farhan Setty,45,M,A3,PER00043
ACC00052,CASE00030,Samarth Sathe,52,M,A1,PER00023
ACC00053,CASE00030,Jackson Barman,19,M,A2,PER00044
ACC00054,CASE00030,Prisha Anand,20,F,A3,PER00045
ACC00055,CASE00031,Dalaja Seth,47,F,A1,PER00046
ACC00056,CASE00031,Xavier Barad,56,M,A2,PER00047
ACC00057,CASE00032,Theodore Parmar,53,M,A1,PER00048
ACC00058,CASE00033,Tanveer Dass,27,M,A1,PER00049
ACC00059,CASE00033,Yatan Patla,64,M,A2,PER00050
ACC00060,CASE00033,Qasim Parmer,45,M,A3,PER00007
ACC00061,CASE00034,Isaac Chada,33,M,A1,PER00032
ACC00062,CASE00035,Chatura Ramanathan,27,M,A1,PER00051
ACC00063,CASE00035,Omkaar Pandya,34,M,A2,PER00052
ACC00064,CASE00036,Fariq Agarwal,24,M,A1,PER00025
ACC00065,CASE00037,Anirudh Ranganathan,32,M,A1,PER00053
ACC00066,CASE00037,Faraj Basu,28,M,A2,PER00054
ACC00067,CASE00038,Falan Sarraf,50,M,A1,PER00055
ACC00068,CASE00039,Ekbal Ratti,35,M,A1,PER00056
ACC00069,CASE00040,Nimrat Acharya,35,F,A1,PER00057
ACC00070,CASE00040,Tanish Halder,48,M,A2,PER00058
ACC00071,CASE00041,Umang Hans,33,M,A1,PER00059
ACC00072,CASE00041,Dhriti Cherian,16,F,A2,PER00060
ACC00073,CASE00041,Yagnesh Ravi,40,M,A3,PER00061
ACC00074,CASE00042,Owen Mistry,65,M,A1,PER00062
ACC00075,CASE00042,Wahab Varma,59,M,A2,PER00063
ACC00076,CASE00042,Omkaar Yadav,60,M,A3,PER00064
ACC00077,CASE00043,Azaan Luthra,29,M,A1,PER00065
ACC00078,CASE00044,Avi Raja,36,M,A1,PER00066
ACC00079,CASE00045,Qabil Koshy,47,M,A1,PER00067
ACC00080,CASE00045,Radhika Wason,26,F,A2,PER00068
ACC00081,CASE00046,Shaurya Banerjee,21,M,A1,PER00069
ACC00082,CASE00046,Fitan Sen,21,M,A2,PER00070
ACC00083,CASE00047,Balveer Brar,57,M,A1,PER00071
ACC00084,CASE00048,Ojasvi Narayan,25,F,A1,PER00072
ACC00085,CASE00048,Finn Bajaj,36,M,A2,PER00073
ACC00086,CASE00049,Aryan Mahal,36,M,A1,PER00074
ACC00087,CASE00049,Anmol Sastry,53,M,A2,PER00075
ACC00088,CASE00050,Shaurya Kapadia,58,M,A1,PER00076
ACC00089,CASE00050,Praneel Ray,42,M,A2,PER00077
ACC00090,CASE00051,David Nagar,58,M,A1,PER00078
ACC00091,CASE00052,Tanveer Dass,27,M,A1,PER00049
ACC00092,CASE00053,Avi Kashyap,17,M,A1,PER00079
ACC00093,CASE00053,Nathan Virk,22,M,A2,PER00080
ACC00094,CASE00054,Baljiwan Jain,57,M,A1,PER00081
ACC00095,CASE00055,Qadim Mannan,33,M,A1,PER00082
ACC00096,CASE00055,Vidhi Varkey,30,F,A2,PER00083
ACC00097,CASE00055,Frado Agate,57,M,A3,PER00084
ACC00098,CASE00056,Harrison Basak,27,M,A1,PER00085
ACC00099,CASE00057,Alexander Dutt,58,M,A1,PER00086
ACC00100,CASE00058,Qasim Behl,43,M,A1,PER00087
ACC00101,CASE00059,Yatan Choudhury,41,M,A1,PER00088
ACC00102,CASE00059,Kiaan Gokhale,64,M,A2,PER00089
ACC00103,CASE00059,Dev Jayaraman,32,M,A3,PER00090
ACC00104,CASE00060,Ranbir Bhatti,35,M,A1,PER00091
ACC00105,CASE00060,Chaitaly Kaur,59,F,A2,PER00092
ACC00106,CASE00060,Yatan Patla,64,M,A3,PER00050
ACC00107,CASE00061,Bhavya Sabharwal,47,F,A1,PER00093
ACC00108,CASE00061,Qabil Bassi,31,M,A2,PER00094
ACC00109,CASE00061,Azad Khanna,65,M,A3,PER00095
ACC00110,CASE00062,Chakradhar Sani,41,M,A1,PER00096
ACC00111,CASE00062,Akshay Gala,23,M,A2,PER00097
ACC00112,CASE00063,Balhaar Kumar,34,M,A1,PER00098
ACC00113,CASE00063,Jeremiah Bir,25,M,A2,PER00099
ACC00114,CASE00063,Samarth Bajaj,25,M,A3,PER00100
ACC00115,CASE00064,Patrick Peri,17,M,A1,PER00024
ACC00116,CASE00065,Lucky Krishna,26,M,A1,PER00101
ACC00117,CASE00065,Isaac Issac,23,M,A2,PER00102
ACC00118,CASE00066,Siya Dhar,52,F,A1,PER00103
ACC00119,CASE00066,Gaurav Mani,23,M,A2,PER00104
ACC00120,CASE00067,Banjeet Bala,25,M,A1,PER00105
ACC00121,CASE00068,Warjas Banerjee,55,M,A1,PER00106
ACC00122,CASE00068,Ranveer Ghose,22,M,A2,PER00107
ACC00123,CASE00069,Jai Golla,63,M,A1,PER00108
ACC00124,CASE00070,Riya Mutti,47,F,A1,PER00029
ACC00125,CASE00070,Indrajit Butala,60,M,A2,PER00109
ACC00126,CASE00070,Nathan Rege,19,M,A3,PER00110
ACC00127,CASE00071,Udant Bhatt,26,M,A1,PER00111
ACC00128,CASE00072,Yash Palla,28,M,A1,PER00112
ACC00129,CASE00072,Onveer Sant,56,M,A2,PER00113
ACC00130,CASE00072,Gaurav Mani,23,M,A3,PER00104
ACC00131,CASE00073,Noah Rege,31,M,A1,PER00114
ACC00132,CASE00073,Jackson Sankaran,38,M,A2,PER00115
ACC00133,CASE00074,Rajeshri Dhingra,55,F,A1,PER00116
ACC00134,CASE00074,Vivaan Kale,65,M,A2,PER00117
ACC00135,CASE00074,Vedant Khanna,41,M,A3,PER00118
ACC00136,CASE00075,Daniel Yohannan,45,M,A1,PER00119
ACC00137,CASE00075,Zaitra Walla,30,F,A2,PER00120
ACC00138,CASE00075,Chakradhar Ben,29,M,A3,PER00121
ACC00139,CASE00076,Jack Kumar,29,M,A1,PER00122
ACC00140,CASE00076,Azad Pai,63,M,A2,PER00123
ACC00141,CASE00076,Jackson Barman,19,M,A3,PER00044
ACC00142,CASE00077,Henry Nayak,65,M,A1,PER00124
ACC00143,CASE00077,Kai Mane,22,M,A2,PER00125
ACC00144,CASE00077,Hardik Ghosh,65,M,A3,PER00126
ACC00145,CASE00078,Amruta Kara,19,F,A1,PER00010
ACC00146,CASE00079,Edhitha Tak,28,F,A1,PER00127
ACC00147,CASE00080,Wahab Mammen,59,M,A1,PER00128
ACC00148,CASE00081,Avi Dugal,30,M,A1,PER00129
ACC00149,CASE00081,Zashil Lata,63,M,A2,PER00130
