ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
ARR00001,CASE00004,Arrest,2026-03-10,ST01,DIST0025,UNIT0151,EMP0034,,ACC00006,1,0
ARR00002,CASE00005,Arrest,2025-12-31,ST01,DIST0011,UNIT0071,EMP0115,,ACC00008,1,0
ARR00003,CASE00007,Surrender,2025-12-30,ST01,DIST0008,UNIT0048,EMP0210,,ACC00011,1,0
ARR00004,CASE00009,Arrest,2026-03-10,ST01,DIST0027,UNIT0166,EMP0161,,ACC00015,1,0
ARR00005,CASE00012,Arrest,2026-05-03,ST01,DIST0003,UNIT0016,EMP0102,,ACC00020,1,0
ARR00006,CASE00014,Surrender,2026-08-16,ST01,DIST0029,UNIT0175,EMP0084,,ACC00024,1,0
ARR00007,CASE00016,Surrender,2026-07-19,ST01,DIST0011,UNIT0070,EMP0068,,ACC00026,1,0
ARR00008,CASE00018,Surrender,2025-11-17,ST01,DIST0003,UNIT0018,EMP0120,,ACC00030,1,0
ARR00009,CASE00020,Arrest,2026-08-02,ST01,DIST0009,UNIT0058,EMP0153,,ACC00032,1,0
ARR00010,CASE00024,Surrender,2025-11-29,ST01,DIST0022,UNIT0134,EMP0012,,ACC00039,1,0
ARR00011,CASE00025,Arrest,2026-03-20,ST01,DIST0003,UNIT0013,EMP0104,,ACC00040,1,0
ARR00012,CASE00033,Arrest,2025-10-05,ST01,DIST0022,UNIT0135,EMP0253,,ACC00058,1,0
ARR00013,CASE00036,Arrest,2025-09-21,ST01,DIST0011,UNIT0071,EMP0115,,ACC00064,1,0
ARR00014,CASE00038,Arrest,2025-09-13,ST01,DIST0005,UNIT0026,EMP0035,,ACC00067,1,0
ARR00015,CASE00041,Surrender,2025-09-20,ST01,DIST0022,UNIT0136,EMP0074,,ACC00071,1,0
ARR00016,CASE00042,Arrest,2026-04-07,ST01,DIST0024,UNIT0146,EMP0131,,ACC00074,1,0
ARR00017,CASE00046,Surrender,2026-01-14,ST01,DIST0005,UNIT0027,EMP0157,,ACC00082,1,0
ARR00018,CASE00047,Surrender,2026-01-15,ST01,DIST0013,UNIT0084,EMP0257,,ACC00083,1,0
ARR00019,CASE00052,Surrender,2025-08-10,ST01,DIST0013,UNIT0079,EMP0093,,ACC00091,1,0
ARR00020,CASE00053,Surrender,2026-02-03,ST01,DIST0005,UNIT0028,EMP0125,,ACC00093,1,0
ARR00021,CASE00054,Arrest,2026-08-18,ST01,DIST0016,UNIT0097,EMP0246,,ACC00094,1,0
ARR00022,CASE00058,Arrest,2025-12-03,ST01,DIST0013,UNIT0084,EMP0257,,ACC00100,1,0
ARR00023,CASE00059,Surrender,2026-06-08,ST01,DIST0005,UNIT0028,EMP0093,,ACC00101,1,0
ARR00024,CASE00061,Arrest,2025-11-04,ST01,DIST0008,UNIT0051,EMP0003,,ACC00109,1,0
ARR00025,CASE00063,Arrest,2026-04-05,ST01,DIST0025,UNIT0151,EMP0144,,ACC00112,1,0
ARR00026,CASE00064,Arrest,2025-09-10,ST01,DIST0013,UNIT0081,EMP0209,,ACC00115,1,0
ARR00027,CASE00065,Arrest,2026-01-06,ST01,DIST0011,UNIT0069,EMP0127,,ACC00116,1,0
ARR00028,CASE00068,Surrender,2025-08-05,ST01,DIST0003,UNIT0016,EMP0102,,ACC00121,1,0
ARR00029,CASE00070,Surrender,2025-09-16,ST01,DIST0005,UNIT0031,EMP0180,,ACC00125,1,0
ARR00030,CASE00072,Surrender,2025-10-20,ST01,DIST0022,UNIT0133,EMP0199,,ACC00129,1,0
ARR00031,CASE00077,Arrest,2025-08-31,ST01,DIST0003,UNIT0013,EMP0104,,ACC00142,1,0
ARR00032,CASE00079,Arrest,2026-06-02,ST01,DIST0001,UNIT0001,EMP0116,,ACC00146,1,0
ARR00033,CASE00080,Surrender,2025-12-06,ST01,DIST0020,UNIT0123,EMP0219,,ACC00147,1,0
ARR00034,CASE00083,Arrest,2025-11-30,ST01,DIST0005,UNIT0032,EMP0184,,ACC00154,1,0
ARR00035,CASE00084,Arrest,2026-05-26,ST01,DIST0028,UNIT0169,EMP0097,,ACC00155,1,0
ARR00036,CASE00087,Arrest,2026-03-01,ST01,DIST0013,UNIT0081,EMP0209,,ACC00160,1,0
ARR00037,CASE00088,Arrest,2026-07-17,ST01,DIST0003,UNIT0015,EMP0136,,ACC00162,1,0
ARR00038,CASE00090,Surrender,2026-08-07,ST01,DIST0029,UNIT0180,EMP0095,,ACC00166,1,0
ARR00039,CASE00098,Arrest,2025-09-22,ST01,DIST0005,UNIT0026,EMP0071,,ACC00182,1,0
ARR00040,CASE00101,Arrest,2026-07-10,ST01,DIST0003,UNIT0018,EMP0120,,ACC00187,1,0
ARR00041,CASE00103,Arrest,2026-07-17,ST01,DIST0017,UNIT0102,EMP0134,,ACC00189,1,0
ARR00042,CASE00111,Surrender,2026-03-05,ST01,DIST0013,UNIT0082,EMP0063,,ACC00205,1,0
ARR00043,CASE00113,Arrest,2026-06-20,ST01,DIST0008,UNIT0049,EMP0083,,ACC00208,1,0
ARR00044,CASE00115,Arrest,2026-06-08,ST01,DIST0013,UNIT0083,EMP0223,,ACC00211,1,0
ARR00045,CASE00116,Arrest,2026-07-31,ST01,DIST0005,UNIT0029,EMP0224,,ACC00213,1,0
ARR00046,CASE00119,Arrest,2026-03-04,ST01,DIST0003,UNIT0015,EMP0222,,ACC00217,1,0
ARR00047,CASE00125,Surrender,2025-12-02,ST01,DIST0003,UNIT0013,EMP0104,,ACC00230,1,0
ARR00048,CASE00126,Arrest,2026-05-17,ST01,DIST0011,UNIT0071,EMP0115,,ACC00232,1,0
ARR00049,CASE00131,Arrest,2026-06-26,ST01,DIST0011,UNIT0071,EMP0115,,ACC00241,1,0
ARR00050,CASE00137,Surrender,2026-05-30,ST01,DIST0013,UNIT0083,EMP0223,,ACC00252,1,0
ARR00051,CASE00140,Surrender,2026-06-30,ST01,DIST0005,UNIT0031,EMP0110,,ACC00257,1,0
ARR00052,CASE00141,Arrest,2026-03-09,ST01,DIST0022,UNIT0136,EMP0005,,ACC00260,1,0
ARR00053,CASE00144,Surrender,2026-05-11,ST01,DIST0003,UNIT0016,EMP0102,,ACC00266,1,0
ARR00054,CASE00145,Arrest,2025-12-20,ST01,DIST0005,UNIT0026,EMP0168,,ACC00268,1,0
ARR00055,CASE00151,Surrender,2025-10-26,ST01,DIST0013,UNIT0079,EMP0093,,ACC00280,1,0
ARR00056,CASE00152,Surrender,2025-10-27,ST01,DIST0005,UNIT0027,EMP0124,,ACC00281,1,0
ARR00057,CASE00155,Surrender,2026-06-04,ST01,DIST0012,UNIT0077,EMP0248,,ACC00288,1,0
ARR00058,CASE00157,Surrender,2025-08-04,ST01,DIST0013,UNIT0081,EMP0209,,ACC00292,1,0
ARR00059,CASE00159,Surrender,2026-03-15,ST01,DIST0011,UNIT0070,EMP0215,,ACC00294,1,0
ARR00060,CASE00160,Surrender,2025-12-15,ST01,DIST0021,UNIT0128,EMP0135,,ACC00295,1,0
ARR00061,CASE00163,Surrender,2025-10-01,ST01,DIST0022,UNIT0135,EMP0135,,ACC00303,1,0
ARR00062,CASE00164,Surrender,2025-11-29,ST01,DIST0003,UNIT0017,EMP0185,,ACC00305,1,0
ARR00063,CASE00165,Surrender,2026-04-01,ST01,DIST0005,UNIT0031,EMP0198,,ACC00307,1,0
ARR00064,CASE00168,Arrest,2025-11-03,ST01,DIST0028,UNIT0172,EMP0139,,ACC00312,1,0
ARR00065,CASE00172,Arrest,2026-01-06,ST01,DIST0024,UNIT0144,EMP0122,,ACC00319,1,0
ARR00066,CASE00176,Arrest,2025-09-20,ST01,DIST0021,UNIT0130,EMP0238,,ACC00329,1,0
ARR00067,CASE00177,Surrender,2025-12-26,ST01,DIST0006,UNIT0033,EMP0221,,ACC00330,1,0
ARR00068,CASE00178,Arrest,2026-02-21,ST01,DIST0005,UNIT0029,EMP0071,,ACC00333,1,0
ARR00069,CASE00183,Surrender,2025-08-30,ST01,DIST0024,UNIT0144,EMP0122,,ACC00344,1,0
ARR00070,CASE00187,Arrest,2025-11-17,ST01,DIST0026,UNIT0161,EMP0225,,ACC00355,1,0
ARR00071,CASE00188,Arrest,2025-11-16,ST01,DIST0022,UNIT0134,EMP0159,,ACC00356,1,0
ARR00072,CASE00190,Arrest,2025-10-21,ST01,DIST0013,UNIT0081,EMP0209,,ACC00359,1,0
ARR00073,CASE00193,Surrender,2026-04-21,ST01,DIST0008,UNIT0053,EMP0105,,ACC00364,1,0
ARR00074,CASE00194,Surrender,2025-09-22,ST01,DIST0002,UNIT0010,EMP0153,,ACC00368,1,0
ARR00075,CASE00196,Surrender,2025-11-21,ST01,DIST0011,UNIT0070,EMP0155,,ACC00370,1,0
ARR00076,CASE00202,Arrest,2026-04-21,ST01,DIST0018,UNIT0110,EMP0119,,ACC00383,1,0
ARR00077,CASE00203,Arrest,2025-11-02,ST01,DIST0020,UNIT0119,EMP0149,,ACC00384,1,0
ARR00078,CASE00204,Arrest,2025-11-27,ST01,DIST0013,UNIT0081,EMP0209,,ACC00387,1,0
ARR00079,CASE00205,Surrender,2025-08-31,ST01,DIST0023,UNIT0142,EMP0176,,ACC00388,1,0
ARR00080,CASE00208,Arrest,2025-11-19,ST01,DIST0005,UNIT0030,EMP0185,,ACC00392,1,0
ARR00081,CASE00210,Arrest,2026-03-12,ST01,DIST0005,UNIT0031,EMP0177,,ACC00395,1,0
ARR00082,CASE00212,Surrender,2025-10-03,ST01,DIST0005,UNIT0029,EMP0246,,ACC00397,1,0
ARR00083,CASE00216,Arrest,2026-04-18,ST01,DIST0005,UNIT0031,EMP0259,,ACC00405,1,0
ARR00084,CASE00217,Arrest,2025-09-05,ST01,DIST0023,UNIT0137,EMP0247,,ACC00406,1,0
ARR00085,CASE00220,Surrender,2026-01-17,ST01,DIST0005,UNIT0031,EMP0106,,ACC00410,1,0
ARR00086,CASE00222,Arrest,2026-07-17,ST01,DIST0011,UNIT0071,EMP0115,,ACC00415,1,0
ARR00087,CASE00223,Surrender,2025-10-23,ST01,DIST0013,UNIT0083,EMP0156,,ACC00416,1,0
ARR00088,CASE00228,Arrest,2026-07-05,ST01,DIST0013,UNIT0084,EMP0247,,ACC00428,1,0
ARR00089,CASE00230,Surrender,2025-10-24,ST01,DIST0003,UNIT0016,EMP0102,,ACC00432,1,0
ARR00090,CASE00231,Arrest,2026-04-11,ST01,DIST0025,UNIT0151,EMP0025,,ACC00435,1,0
ARR00091,CASE00240,Surrender,2025-09-24,ST01,DIST0030,UNIT0185,EMP0259,,ACC00446,1,0
ARR00092,CASE00241,Arrest,2026-04-22,ST01,DIST0011,UNIT0069,EMP0127,,ACC00448,1,0
ARR00093,CASE00242,Arrest,2026-02-27,ST01,DIST0003,UNIT0018,EMP0129,,ACC00449,1,0
ARR00094,CASE00243,Surrender,2026-03-30,ST01,DIST0010,UNIT0066,EMP0137,,ACC00450,1,0
ARR00095,CASE00244,Arrest,2026-02-12,ST01,DIST0012,UNIT0073,EMP0162,,ACC00451,1,0
ARR00096,CASE00245,Arrest,2025-08-02,ST01,DIST0006,UNIT0038,EMP0147,,ACC00453,1,0
ARR00097,CASE00246,Surrender,2026-05-12,ST01,DIST0005,UNIT0029,EMP0137,,ACC00456,1,0
ARR00098,CASE00248,Arrest,2025-12-19,ST01,DIST0011,UNIT0069,EMP0127,,ACC00460,1,0
ARR00099,CASE00249,Arrest,2025-11-18,ST01,DIST0017,UNIT0100,EMP0189,,ACC00461,1,0
ARR00100,CASE00253,Surrender,2026-02-26,ST01,DIST0005,UNIT0032,EMP0184,,ACC00469,1,0
ARR00101,CASE00260,Surrender,2026-04-02,ST01,DIST0013,UNIT0084,EMP0236,,ACC00481,1,0
ARR00102,CASE00262,Surrender,2026-06-18,ST01,DIST0013,UNIT0084,EMP0094,,ACC00486,1,0
ARR00103,CASE00263,Arrest,2026-01-13,ST01,DIST0006,UNIT0040,EMP0056,,ACC00487,1,0
ARR00104,CASE00265,Surrender,2025-12-25,ST01,DIST0005,UNIT0031,EMP0021,,ACC00493,1,0
ARR00105,CASE00267,Arrest,2026-03-26,ST01,DIST0022,UNIT0133,EMP0199,,ACC00495,1,0
ARR00106,CASE00268,Surrender,2026-06-03,ST01,DIST0028,UNIT0169,EMP0255,,ACC00496,1,0
ARR00107,CASE00271,Surrender,2026-04-23,ST01,DIST0004,UNIT0021,EMP0224,,ACC00501,1,0
ARR00108,CASE00273,Arrest,2025-12-05,ST01,DIST0003,UNIT0019,EMP0077,,ACC00504,1,0
ARR00109,CASE00274,Surrender,2025-11-05,ST01,DIST0018,UNIT0110,EMP0141,,ACC00507,1,0
ARR00110,CASE00277,Arrest,2026-02-14,ST01,DIST0005,UNIT0028,EMP0093,,ACC00513,1,0
ARR00111,CASE00278,Arrest,2025-11-15,ST01,DIST0011,UNIT0068,EMP0188,,ACC00515,1,0
ARR00112,CASE00281,Surrender,2026-02-28,ST01,DIST0009,UNIT0059,EMP0026,,ACC00520,1,0
ARR00113,CASE00284,Arrest,2026-06-28,ST01,DIST0005,UNIT0032,EMP0184,,ACC00525,1,0
ARR00114,CASE00286,Surrender,2025-11-20,ST01,DIST0002,UNIT0007,EMP0108,,ACC00528,1,0
ARR00115,CASE00289,Arrest,2026-01-10,ST01,DIST0006,UNIT0037,EMP0075,,ACC00533,1,0
ARR00116,CASE00295,Arrest,2025-09-19,ST01,DIST0013,UNIT0079,EMP0169,,ACC00545,1,0
ARR00117,CASE00297,Surrender,2026-05-08,ST01,DIST0011,UNIT0071,EMP0027,,ACC00549,1,0
ARR00118,CASE00304,Surrender,2026-01-24,ST01,DIST0011,UNIT0068,EMP0147,,ACC00559,1,0
ARR00119,CASE00307,Arrest,2025-09-07,ST01,DIST0013,UNIT0083,EMP0223,,ACC00567,1,0
ARR00120,CASE00314,Arrest,2026-02-20,ST01,DIST0003,UNIT0017,EMP0185,,ACC00580,1,0
ARR00121,CASE00316,Arrest,2025-08-20,ST01,DIST0026,UNIT0158,EMP0235,,ACC00584,1,0
ARR00122,CASE00317,Arrest,2025-08-19,ST01,DIST0011,UNIT0068,EMP0107,,ACC00585,1,0
ARR00123,CASE00320,Arrest,2025-09-07,ST01,DIST0020,UNIT0124,EMP0079,,ACC00590,1,0
ARR00124,CASE00322,Arrest,2026-01-31,ST01,DIST0003,UNIT0013,EMP0104,,ACC00595,1,0
ARR00125,CASE00324,Surrender,2026-04-13,ST01,DIST0022,UNIT0134,EMP0012,,ACC00600,1,0
ARR00126,CASE00329,Arrest,2025-10-05,ST01,DIST0005,UNIT0030,EMP0146,,ACC00609,1,0
ARR00127,CASE00330,Surrender,2026-01-04,ST01,DIST0003,UNIT0013,EMP0104,,ACC00610,1,0
ARR00128,CASE00334,Arrest,2026-02-28,ST01,DIST0012,UNIT0073,EMP0038,,ACC00618,1,0
ARR00129,CASE00335,Surrender,2026-07-19,ST01,DIST0023,UNIT0137,EMP0123,,ACC00620,1,0
ARR00130,CASE00336,Arrest,2025-09-16,ST01,DIST0013,UNIT0083,EMP0223,,ACC00622,1,0
ARR00131,CASE00338,Surrender,2026-04-18,ST01,DIST0013,UNIT0081,EMP0209,,ACC00625,1,0
ARR00132,CASE00344,Surrender,2025-09-09,ST01,DIST0022,UNIT0134,EMP0159,,ACC00635,1,0
ARR00133,CASE00345,Surrender,2026-01-23,ST01,DIST0005,UNIT0032,EMP0184,,ACC00636,1,0
ARR00134,CASE00347,Arrest,2025-08-07,ST01,DIST0011,UNIT0070,EMP0040,,ACC00643,1,0
ARR00135,CASE00350,Surrender,2026-04-22,ST01,DIST0026,UNIT0160,EMP0170,,ACC00648,1,0
ARR00136,CASE00356,Surrender,2026-04-20,ST01,DIST0005,UNIT0027,EMP0157,,ACC00658,1,0
ARR00137,CASE00357,Arrest,2026-01-14,ST01,DIST0008,UNIT0047,EMP0016,,ACC00660,1,0
ARR00138,CASE00359,Arrest,2025-11-23,ST01,DIST0005,UNIT0031,EMP0193,,ACC00664,1,0
ARR00139,CASE00366,Arrest,2026-07-19,ST01,DIST0005,UNIT0028,EMP0093,,ACC00676,1,0
ARR00140,CASE00367,Surrender,2026-04-12,ST01,DIST0003,UNIT0014,EMP0052,,ACC00677,1,0
ARR00141,CASE00368,Arrest,2026-08-11,ST01,DIST0006,UNIT0036,EMP0123,,ACC00679,1,0
ARR00142,CASE00371,Arrest,2025-12-23,ST01,DIST0013,UNIT0081,EMP0209,,ACC00683,1,0
ARR00143,CASE00373,Surrender,2025-12-22,ST01,DIST0024,UNIT0148,EMP0045,,ACC00685,1,0
ARR00144,CASE00380,Surrender,2026-06-08,ST01,DIST0023,UNIT0138,EMP0249,,ACC00696,1,0
ARR00145,CASE00385,Surrender,2026-03-18,ST01,DIST0022,UNIT0136,EMP0243,,ACC00706,1,0
ARR00146,CASE00386,Surrender,2026-02-06,ST01,DIST0005,UNIT0026,EMP0035,,ACC00707,1,0
ARR00147,CASE00391,Arrest,2025-08-16,ST01,DIST0014,UNIT0086,EMP0187,,ACC00718,1,0
ARR00148,CASE00393,Surrender,2025-11-01,ST01,DIST0009,UNIT0058,EMP0258,,ACC00721,1,0
ARR00149,CASE00394,Surrender,2026-02-25,ST01,DIST0022,UNIT0135,EMP0253,,ACC00723,1,0
ARR00150,CASE00398,Surrender,2026-06-16,ST01,DIST0005,UNIT0029,EMP0249,,ACC00731,1,0
ARR00151,CASE00399,Surrender,2026-01-05,ST01,DIST0013,UNIT0079,EMP0248,,ACC00732,1,0
ARR00152,CASE00402,Surrender,2026-05-23,ST01,DIST0011,UNIT0071,EMP0027,,ACC00737,1,0
ARR00153,CASE00403,Surrender,2026-06-26,ST01,DIST0013,UNIT0084,EMP0247,,ACC00741,1,0
ARR00154,CASE00405,Surrender,2026-03-14,ST01,DIST0009,UNIT0057,EMP0020,,ACC00743,1,0
ARR00155,CASE00411,Surrender,2025-09-27,ST01,DIST0012,UNIT0075,EMP0155,,ACC00755,1,0
ARR00156,CASE00412,Arrest,2026-06-01,ST01,DIST0006,UNIT0040,EMP0226,,ACC00758,1,0
ARR00157,CASE00414,Arrest,2025-11-04,ST01,DIST0010,UNIT0067,EMP0211,,ACC00763,1,0
ARR00158,CASE00416,Surrender,2025-12-18,ST01,DIST0013,UNIT0081,EMP0209,,ACC00768,1,0
ARR00159,CASE00417,Arrest,2026-03-18,ST01,DIST0013,UNIT0083,EMP0223,,ACC00770,1,0
ARR00160,CASE00419,Arrest,2025-09-03,ST01,DIST0003,UNIT0015,EMP0136,,ACC00774,1,0
ARR00161,CASE00424,Arrest,2026-05-03,ST01,DIST0022,UNIT0136,EMP0124,,ACC00780,1,0
ARR00162,CASE00427,Arrest,2026-05-10,ST01,DIST0005,UNIT0029,EMP0070,,ACC00784,1,0
ARR00163,CASE00428,Arrest,2026-05-23,ST01,DIST0005,UNIT0031,EMP0160,,ACC00785,1,0
ARR00164,CASE00435,Arrest,2026-05-19,ST01,DIST0011,UNIT0069,EMP0127,,ACC00799,1,0
ARR00165,CASE00437,Arrest,2026-05-07,ST01,DIST0013,UNIT0083,EMP0223,,ACC00803,1,0
ARR00166,CASE00438,Surrender,2025-07-27,ST01,DIST0007,UNIT0041,EMP0205,,ACC00807,1,0
ARR00167,CASE00439,Arrest,2025-08-18,ST01,DIST0003,UNIT0014,EMP0051,,ACC00808,1,0
ARR00168,CASE00441,Arrest,2025-08-16,ST01,DIST0011,UNIT0071,EMP0115,,ACC00812,1,0
ARR00169,CASE00443,Surrender,2026-01-11,ST01,DIST0005,UNIT0028,EMP0125,,ACC00816,1,0
ARR00170,CASE00444,Arrest,2026-07-23,ST01,DIST0005,UNIT0028,EMP0093,,ACC00819,1,0
ARR00171,CASE00446,Surrender,2025-09-12,ST01,DIST0013,UNIT0080,EMP0006,,ACC00822,1,0
ARR00172,CASE00447,Arrest,2026-05-26,ST01,DIST0022,UNIT0135,EMP0253,,ACC00824,1,0
ARR00173,CASE00448,Arrest,2026-07-02,ST01,DIST0005,UNIT0030,EMP0154,,ACC00826,1,0
ARR00174,CASE00449,Surrender,2026-03-17,ST01,DIST0011,UNIT0069,EMP0127,,ACC00828,1,0
ARR00175,CASE00450,Arrest,2026-03-21,ST01,DIST0022,UNIT0135,EMP0135,,ACC00830,1,0
ARR00176,CASE00455,Arrest,2025-11-15,ST01,DIST0022,UNIT0136,EMP0192,,ACC00842,1,0
ARR00177,CASE00459,Arrest,2026-07-25,ST01,DIST0027,UNIT0165,EMP0042,,ACC00850,1,0
ARR00178,CASE00460,Surrender,2026-07-20,ST01,DIST0005,UNIT0026,EMP0035,,ACC00853,1,0
ARR00179,CASE00462,Arrest,2026-01-24,ST01,DIST0011,UNIT0070,EMP0067,,ACC00855,1,0
ARR00180,CASE00463,Surrender,2026-02-15,ST01,DIST0006,UNIT0035,EMP0191,,ACC00857,1,0
ARR00181,CASE00467,Surrender,2026-04-23,ST01,DIST0012,UNIT0073,EMP0038,,ACC00864,1,0
ARR00182,CASE00471,Surrender,2026-05-15,ST01,DIST0011,UNIT0071,EMP0027,,ACC00870,1,0
