ComplainantID,CaseMasterID,ComplainantName,AgeYear,Occupation,GenderID
COMP00001,CASE00001,Mugdha Jaggi,19,Government Employee,F
COMP00002,CASE00002,George Dhar,33,Homemaker,M
COMP00003,CASE00003,Lavanya Ghose,41,Farmer,F
COMP00004,CASE00004,Alexander Choudhury,37,Student,M
COMP00005,CASE00005,Wriddhish Rau,62,Farmer,M
COMP00006,CASE00006,Peter Virk,65,Business,M
COMP00007,CASE00007,Brijesh Palan,22,Private Employee,M
COMP00008,CASE00008,Yash Jhaveri,35,Farmer,M
COMP00009,CASE00009,Darpan Behl,54,Private Employee,M
COMP00010,CASE00010,Hritik Dyal,49,Private Employee,M
COMP00011,CASE00011,Jai Kadakia,52,Business,M
COMP00012,CASE00012,Aarav Kade,75,Government Employee,M
COMP00013,CASE00013,Gautam Behl,38,Private Employee,M
COMP00014,CASE00014,Meera Rao,26,Private Employee,F
COMP00015,CASE00015,Rajata Natt,23,Unemployed,F
COMP00016,CASE00016,Bakhshi Pant,21,Business,M
COMP00017,CASE00017,Raksha Mand,29,Student,F
COMP00018,CASE00018,Urvashi Bandi,60,Homemaker,F
COMP00019,CASE00019,Kevin Agrawal,19,Unemployed,M
COMP00020,CASE00020,Veer Nayak,42,Private Employee,M
COMP00021,CASE00021,Samar Sibal,29,Unemployed,M
COMP00022,CASE00022,Ekalinga Aurora,29,Farmer,M
COMP00023,CASE00023,Umang Gour,29,Government Employee,M
COMP00024,CASE00024,Veer Yadav,63,Student,M
COMP00025,CASE00025,Farhan Baria,60,Student,M
COMP00026,CASE00026,Veer Pathak,67,Government Employee,M
COMP00027,CASE00027,Sathvik Mishra,32,Government Employee,M
COMP00028,CASE00028,Girish Ram,23,Business,M
COMP00029,CASE00029,Anirudh Borra,71,Farmer,M
COMP00030,CASE00030,Zayan Sampath,52,Homemaker,M
COMP00031,CASE00031,Abdul Balakrishnan,56,Unemployed,M
COMP00032,CASE00032,Bahadurjit Bhatt,57,Homemaker,M
COMP00033,CASE00033,Yug Behl,68,Private Employee,M
COMP00034,CASE00034,Ansh Randhawa,59,Unemployed,M
COMP00035,CASE00035,Urvi Bansal,36,Farmer,F
COMP00036,CASE00036,Arjun Nath,61,Government Employee,M
COMP00037,CASE00037,Azaan Wason,30,Private Employee,M
COMP00038,CASE00038,Nachiket Andra,30,Homemaker,M
COMP00039,CASE00039,Azaan Borah,51,Business,M
COMP00040,CASE00040,Henry Kapur,33,Private Employee,M
COMP00041,CASE00041,Gaurav Nagarajan,41,Farmer,M
COMP00042,CASE00042,Oni Verma,65,Business,F
COMP00043,CASE00043,Siddharth Kata,75,Business,M
COMP00044,CASE00044,Farhan Shah,20,Business,M
COMP00045,CASE00045,Advaith Purohit,69,Private Employee,M
COMP00046,CASE00046,Bimala Pandit,29,Private Employee,F
COMP00047,CASE00047,Mason Sachar,53,Government Employee,M
COMP00048,CASE00048,Ansh Shetty,57,Government Employee,M
COMP00049,CASE00049,Faqid Balay,39,Farmer,M
COMP00050,CASE00050,Advik Kapadia,31,Private Employee,M
COMP00051,CASE00051,Januja Krish,19,Business,F
COMP00052,CASE00052,Kala Andra,28,Homemaker,F
COMP00053,CASE00053,Ikshita Rajan,58,Business,F
COMP00054,CASE00054,Nandini Sekhon,41,Business,F
COMP00055,CASE00055,Noah Jhaveri,48,Homemaker,M
COMP00056,CASE00056,Yatan Gade,18,Government Employee,M
COMP00057,CASE00057,Michael Majumdar,69,Business,M
COMP00058,CASE00058,Damini Hayre,45,Private Employee,F
COMP00059,CASE00059,Caleb Kari,38,Business,M
COMP00060,CASE00060,Logan Chopra,73,Student,M
COMP00061,CASE00061,Farhan Handa,20,Private Employee,M
COMP00062,CASE00062,Mitesh Chaudry,69,Business,M
COMP00063,CASE00063,Samaksh Dara,18,Farmer,M
COMP00064,CASE00064,Baljiwan Bhakta,69,Business,M
COMP00065,CASE00065,Advaith Wadhwa,26,Business,M
COMP00066,CASE00066,Chakradev Sen,47,Government Employee,M
COMP00067,CASE00067,Riya Rout,36,Unemployed,F
COMP00068,CASE00068,Qarin Dar,59,Student,M
COMP00069,CASE00069,Upkaar Chacko,51,Student,M
COMP00070,CASE00070,Bachittar Sama,55,Business,M
COMP00071,CASE00071,Avi Chaudhari,34,Student,M
COMP00072,CASE00072,Parth Raj,62,Farmer,M
COMP00073,CASE00073,Neel Loyal,72,Homemaker,M
COMP00074,CASE00074,Rishi Viswanathan,73,Homemaker,M
COMP00075,CASE00075,Omya Sanghvi,45,Business,F
COMP00076,CASE00076,Bachittar Saxena,72,Private Employee,M
