EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
EMP0001,DIST0015,UNIT0090,RNK02,DSG01,KGID22428180,Shaurya,1970-05-23,M,O-,0,2008-02-20
EMP0002,DIST0002,UNIT0008,RNK02,DSG02,KGID59784693,Abdul,1972-02-12,M,B+,0,2009-12-09
EMP0003,DIST0006,UNIT0033,RNK04,DSG01,KGID44394852,Jason,1969-06-28,M,B-,0,2009-12-24
EMP0004,DIST0010,UNIT0066,RNK07,DSG03,KGID78993320,Hiral,1975-05-28,M,B-,0,2010-07-10
EMP0005,DIST0030,UNIT0184,RNK01,DSG02,KGID59451772,Shivansh,1976-07-27,M,A+,0,2002-09-04
EMP0006,DIST0013,UNIT0080,RNK05,DSG04,KGID51904653,Frado,1986-07-03,M,A+,0,2001-12-07
EMP0007,DIST0025,UNIT0152,RNK06,DSG02,KGID94719668,Hemani,1983-01-12,M,O-,0,2015-12-05
EMP0008,DIST0029,UNIT0176,RNK05,DSG01,KGID31570002,Warjas,1982-09-12,M,A+,0,2019-06-13
EMP0009,DIST0015,UNIT0089,RNK05,DSG04,KGID86532359,Hritik,2003-04-07,M,B-,0,2021-08-19
EMP0010,DIST0014,UNIT0088,RNK01,DSG04,KGID47360576,Shaurya,1976-02-20,M,O+,0,2002-08-24
EMP0011,DIST0027,UNIT0163,RNK07,DSG04,KGID85524835,Timothy,1977-10-01,M,B-,0,2012-09-10
EMP0012,DIST0022,UNIT0134,RNK06,DSG03,KGID55632005,Tanveer,1986-09-21,F,O-,0,2019-07-31
EMP0013,DIST0020,UNIT0124,RNK04,DSG04,KGID30229071,Lucky,1990-11-07,M,O+,0,2007-03-20
EMP0014,DIST0010,UNIT0063,RNK07,DSG01,KGID76765787,Yagnesh,1996-10-19,M,O-,0,2007-11-24
EMP0015,DIST0020,UNIT0119,RNK05,DSG04,KGID95933537,Oscar,1985-08-27,M,O+,0,2018-06-10
EMP0016,DIST0008,UNIT0047,RNK04,DSG02,KGID51416501,Noah,1975-04-12,M,O+,0,2018-02-26
EMP0017,DIST0025,UNIT0153,RNK06,DSG03,KGID85930210,Ansh,2002-05-21,M,B+,0,2012-11-25
EMP0018,DIST0004,UNIT0022,RNK02,DSG04,KGID88191111,Qadim,1991-03-26,M,B-,0,2017-08-18
EMP0019,DIST0020,UNIT0122,RNK06,DSG04,KGID71082738,Tejas,2002-02-22,M,O+,0,2019-01-08
EMP0020,DIST0009,UNIT0057,RNK04,DSG02,KGID84532829,Praneel,1987-10-21,M,AB+,0,2016-05-16
EMP0021,DIST0023,UNIT0142,RNK05,DSG03,KGID75128489,Nachiket,2003-01-26,M,O+,0,2017-08-22
EMP0022,DIST0015,UNIT0091,RNK06,DSG04,KGID63237914,Advik,1970-02-12,M,A+,0,2023-06-01
EMP0023,DIST0030,UNIT0185,RNK02,DSG03,KGID52071104,Watika,1982-02-22,M,O-,0,2002-06-20
EMP0024,DIST0029,UNIT0177,RNK02,DSG02,KGID98516331,Sarthak,1987-08-25,M,B-,0,2021-11-23
EMP0025,DIST0025,UNIT0151,RNK07,DSG03,KGID23184152,Tanish,1971-12-23,F,O+,0,2007-04-02
EMP0026,DIST0009,UNIT0059,RNK03,DSG02,KGID99066956,Gaurav,1981-10-22,M,B+,0,2024-06-29
EMP0027,DIST0011,UNIT0071,RNK01,DSG01,KGID79047145,Kevin,1981-12-09,M,B+,0,2014-12-01
EMP0028,DIST0027,UNIT0164,RNK07,DSG04,KGID73637488,Tanvi,1986-06-02,M,O+,0,2005-11-15
EMP0029,DIST0020,UNIT0121,RNK04,DSG04,KGID10640974,Luke,1988-05-06,F,O+,0,2011-01-20
EMP0030,DIST0020,UNIT0123,RNK01,DSG01,KGID95894378,Wazir,2000-04-13,M,B-,0,2013-07-13
EMP0031,DIST0029,UNIT0176,RNK01,DSG02,KGID21011367,Sudiksha,1969-06-13,M,O+,0,2015-11-13
EMP0032,DIST0004,UNIT0022,RNK02,DSG01,KGID47454712,Finn,1976-12-07,M,A-,0,2013-07-12
EMP0033,DIST0026,UNIT0159,RNK02,DSG04,KGID47385623,Guneet,1993-11-09,M,O-,0,2003-05-08
EMP0034,DIST0025,UNIT0151,RNK04,DSG03,KGID53226119,Darsh,1969-01-06,M,B-,0,2020-06-28
EMP0035,DIST0005,UNIT0026,RNK07,DSG02,KGID25961930,Jatin,1993-01-06,M,A+,0,2001-07-12
EMP0036,DIST0007,UNIT0041,RNK02,DSG02,KGID15003943,Sarthak,1988-01-28,M,AB+,0,2017-06-25
EMP0037,DIST0019,UNIT0116,RNK06,DSG04,KGID54371245,Hardik,1972-11-06,M,B-,0,2009-11-08
EMP0038,DIST0012,UNIT0073,RNK06,DSG04,KGID56664483,Aadhya,1983-09-17,M,O+,0,2002-05-01
EMP0039,DIST0026,UNIT0161,RNK05,DSG02,KGID24523710,Henry,1999-03-02,M,B-,0,2015-11-13
EMP0040,DIST0006,UNIT0039,RNK03,DSG02,KGID59053251,Siya,1981-05-06,M,O+,0,2006-04-15
EMP0041,DIST0025,UNIT0153,RNK06,DSG03,KGID29682380,Jack,1972-01-19,M,O+,0,2021-07-05
EMP0042,DIST0029,UNIT0180,RNK04,DSG03,KGID96865256,Harsh,2001-06-28,M,A+,0,2018-11-23
EMP0043,DIST0025,UNIT0154,RNK01,DSG04,KGID99567205,Imaran,1995-04-28,M,A+,0,2004-03-30
