VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
VIC00001,CASE00001,Abdul Arya,26,M,0
VIC00002,CASE00002,Hemang Saran,67,M,0
VIC00003,CASE00003,Nitesh Sur,22,M,0
VIC00004,CASE00004,Caleb Chad,68,M,0
VIC00005,CASE00005,Waida Thakkar,28,F,0
VIC00006,CASE00006,Yatan Chakrabarti,6,M,0
VIC00007,CASE00006,Samarth Loyal,48,M,0
VIC00008,CASE00007,Banjeet Sehgal,18,M,0
VIC00009,CASE00008,Rohan Bail,69,M,0
VIC00010,CASE00008,Nachiket Sahota,23,M,0
VIC00011,CASE00009,Ishaan Khatri,69,M,0
VIC00012,CASE00010,Sarthak Suri,72,M,0
VIC00013,CASE00011,Onveer Boase,10,M,0
VIC00014,CASE00012,Triveni Deep,80,F,0
VIC00015,CASE00012,Thomas Gole,73,M,0
VIC00016,CASE00013,Kiaan Din,47,M,0
VIC00017,CASE00013,Reyansh Ghose,80,M,0
VIC00018,CASE00014,Quincy Bhardwaj,58,M,0
VIC00019,CASE00015,Vanya Trivedi,78,F,0
VIC00020,CASE00015,Luke Varughese,45,M,0
VIC00021,CASE00016,Shaurya Ratta,43,M,0
VIC00022,CASE00017,Shivani Patla,79,F,0
VIC00023,CASE00018,Arin Chadha,5,M,0
VIC00024,CASE00019,Jack Chaudhry,62,M,0
VIC00025,CASE00020,Jonathan Puri,60,M,0
VIC00026,CASE00021,Ekani Chahal,40,F,0
VIC00027,CASE00022,Ojas Ray,44,M,0
VIC00028,CASE00022,Arjun Dar,11,M,0
VIC00029,CASE00023,Vaishnavi Devan,32,F,0
VIC00030,CASE00023,Gaurav Bhalla,75,M,0
VIC00031,CASE00024,Darpan Kamdar,35,M,0
VIC00032,CASE00025,Finn Vyas,47,M,0
VIC00033,CASE00025,Frado Ratti,30,M,0
VIC00034,CASE00026,Ranbir Chatterjee,15,M,0
VIC00035,CASE00027,Anthony Kar,66,M,0
VIC00036,CASE00028,Chatresh Chopra,38,M,0
VIC00037,CASE00029,Harsh Natarajan,37,M,0
VIC00038,CASE00030,Rudra Malhotra,59,M,0
VIC00039,CASE00030,Logan Sehgal,25,M,0
VIC00040,CASE00031,Chandran Tiwari,41,M,0
VIC00041,CASE00032,Pushti Dass,75,T,0
VIC00042,CASE00033,Shaurya Vig,24,M,0
VIC00043,CASE00034,Advika Patla,5,F,0
VIC00044,CASE00035,Ekalinga Divan,39,M,0
VIC00045,CASE00036,Azad Padmanabhan,62,M,0
VIC00046,CASE00037,Nihal Ratta,73,M,0
VIC00047,CASE00038,Kai Mukherjee,66,M,0
VIC00048,CASE00038,Christopher Sundaram,40,M,0
VIC00049,CASE00039,Darsh Iyer,16,M,0
VIC00050,CASE00040,Yash Sule,29,M,0
VIC00051,CASE00041,Aarnav Cheema,16,M,0
VIC00052,CASE00042,Samesh Misra,48,M,0
VIC00053,CASE00043,Naksh Sethi,73,M,0
VIC00054,CASE00044,Parth Mandal,49,M,0
VIC00055,CASE00045,Ethan Arora,54,M,0
VIC00056,CASE00046,Orinder Wagle,70,M,0
VIC00057,CASE00046,Zayyan Ravi,56,M,0
VIC00058,CASE00047,Faris Karnik,66,M,0
VIC00059,CASE00048,Saumya Sekhon,34,F,0
VIC00060,CASE00049,Harshil Kota,63,M,0
VIC00061,CASE00049,Yagnesh Konda,52,M,0
VIC00062,CASE00050,Krishna Kota,9,F,0
VIC00063,CASE00051,Jack Bhalla,78,M,0
VIC00064,CASE00051,Pranav Sama,52,M,0
VIC00065,CASE00052,Jatin Karnik,5,M,0
VIC00066,CASE00053,Jeevika De,15,F,0
VIC00067,CASE00054,Nandini Basak,71,F,0
VIC00068,CASE00055,Elijah Ratta,65,M,0
VIC00069,CASE00056,Onkar Bora,75,M,0
VIC00070,CASE00056,Brijesh Dixit,48,M,0
VIC00071,CASE00057,Udarsh Banik,9,M,0
VIC00072,CASE00058,Luke Sibal,73,M,0
VIC00073,CASE00059,Anay Chand,18,M,0
VIC00074,CASE00059,Ekavir Wason,43,M,0
VIC00075,CASE00060,Abhiram Basu,53,M,0
VIC00076,CASE00061,Praneel Wali,57,M,0
VIC00077,CASE00062,Lekha Wable,51,F,0
VIC00078,CASE00063,Timothy Gara,43,M,0
VIC00079,CASE00064,David Gopal,41,M,0
VIC00080,CASE00064,Pranit Bala,16,M,0
VIC00081,CASE00065,Panini Savant,17,F,0
VIC00082,CASE00066,Amol Pillai,38,M,0
VIC00083,CASE00067,Frederick Gulati,20,M,0
VIC00084,CASE00068,Samarth Bhatt,79,M,0
VIC00085,CASE00069,Onkar Parmar,40,M,0
VIC00086,CASE00070,Nidra Bajaj,75,F,0
VIC00087,CASE00071,Barkha Nanda,75,F,0
VIC00088,CASE00072,Chakrika Pandit,43,F,0
VIC00089,CASE00073,Bhavya Guha,10,F,0
VIC00090,CASE00074,Bhavika Kannan,58,F,0
VIC00091,CASE00075,Charles Kamdar,39,M,0
VIC00092,CASE00076,Shaurya Shenoy,17,M,0
VIC00093,CASE00077,Siddharth Barman,66,M,0
VIC00094,CASE00078,Noah Mukherjee,51,M,0
VIC00095,CASE00079,Zehaan Anne,38,M,0
VIC00096,CASE00079,Jackson More,76,M,0
VIC00097,CASE00080,Karan Dhar,26,M,0
VIC00098,CASE00081,Noah Rao,77,M,0
VIC00099,CASE00082,Agastya Rajagopal,7,M,0
VIC00100,CASE00083,Ekbal Kade,21,M,0
VIC00101,CASE00083,Ronith Karpe,70,M,0
VIC00102,CASE00084,Mugdha Bail,5,F,0
VIC00103,CASE00085,Nihal Padmanabhan,29,M,0
VIC00104,CASE00086,Theodore Bajaj,12,M,0
VIC00105,CASE00086,Maanas Lanka,54,M,0
VIC00106,CASE00087,Yauvani Patil,42,F,0
VIC00107,CASE00088,Max Bhattacharyya,80,M,0
VIC00108,CASE00089,Bhavna Prasad,41,F,0
VIC00109,CASE00089,Victor Baral,20,M,0
VIC00110,CASE00090,Charan Bhattacharyya,68,M,0
VIC00111,CASE00090,Rishi Pathak,19,M,0
VIC00112,CASE00091,Matthew Nagarajan,37,M,0
VIC00113,CASE00091,Naveen Natt,78,M,0
VIC00114,CASE00092,Mohini Barman,79,F,0
VIC00115,CASE00093,Vasatika Mall,36,F,0
VIC00116,CASE00094,Hredhaan Solanki,34,M,0
VIC00117,CASE00095,Hardik Wali,14,M,0
VIC00118,CASE00096,Jacob Gour,32,M,0
VIC00119,CASE00096,Devansh Kapoor,19,M,0
VIC00120,CASE00097,Azaan Sanghvi,19,M,0
VIC00121,CASE00098,Wridesh Bala,48,M,0
VIC00122,CASE00099,David Basu,23,M,0
VIC00123,CASE00100,Unni Nagi,46,F,0
VIC00124,CASE00101,Michael Ahuja,71,M,0
VIC00125,CASE00101,Caleb Chaudhari,61,M,0
VIC00126,CASE00102,Upasna Bal,23,F,0
VIC00127,CASE00103,Sai Deshpande,29,M,0
VIC00128,CASE00104,Charles Seth,40,M,0
